Name,Birth,Death,Category
Wolfgang Amadeus Mozart,1756-01-27,1791-12-05,Music
Johann Sebastian Bach,1685-03-31,1750-07-28,Music
Georg Friedrich Händel,1685-03-05,1759-04-14,Music
Franz Joseph Haydn,1732-04-01,1809-05-31,Music
Richard Strauss,1864-06-11,1949-09-08,Music
Antonio Vivaldo,1678-03-04,1741-07-28,Music
Wilhelm Hieronymus Pachelbel,1686-08-29,1764-01-01,Music
Ludwig van Beethoven,1770-12-17,1827-03-26,Music
