Name,Birth,Death,Category
Galileo Galilei,1564-02-15,1642-08-01,Science
Isaac Newton,1643-01-04,1727-03-31,Science
Albert Einstein,1879-03-14,1955-04-18,Science
Nicolaus Copernicus,1473-02-19,1543-05-24,Science
Niels Henrik David Bohr,1885-10-07,1962-11-18,Science
Charles Robert Darwin,1809-02-12,1882-04-19,Science
