Name,Birth,Death,Category
William Shakespeare,1564-04-26,1616-04-23,Writer
Durante di Alighiero degli Alighieri (Dante),1265-01-01,1321-01-01,Writer
Miguel de Cervantes Saavedra,1547-09-29,1616-04-22,Writer
Johann Wolfgang von Goethe,1749-08-28,1832-03-22,Writer
Johann Christoph Friedrich von Schiller,1759-11-10,1805-05-09,Writer
